id,description,name,price,currencyId,categoryId,picture,url
1844144,"Регулятор напряжения SA-30,60,100,120 /AVR SX460 (E000-24600)",Регулятор напряжения SA-30/AVR SX460,8592,RUB,194678,"https://tss.ru/upload/iblock/83b/gjr75ii6m9yeijlzvaofbh6fexoh75it.jpg, https://tss.ru/upload/iblock/c2b/12lxgfo67jrt40dtveaic97a77vnd9zb.jpg",https://tss.ru/catalog/sinkhronnye_generatory/regulyatory_napryazheniya_dlya_sinkhronnykh_generatorov_avr_1/regulyatory_napryazheniya_stamford_avr/regulyator_napryazheniya_sa_30_avr_sx460_020172/
1844358,Генератор TSS-SA-1350,TSS-SA-1350,0,RUB,177554,https://tss.ru/upload/iblock/d01/c2mvkw0fr384wnlolp2nnlzouxn534gn.jpg,https://tss.ru/catalog/sinkhronnye_generatory/tss_sa/tss_sa_1350_003424/
1844359,Генератор Evotec TCU468C (1520 кВт SAE 0/18),Evotec TCU468C (1520 кВт SAE 0/18),2566201.97,RUB,199462,https://tss.ru/upload/iblock/c88/gzhidm7jtb0s2z2oj1sayybnpnxw5pmu.jpg,https://tss.ru/catalog/sinkhronnye_generatory/evotec/evotec_tcu468c_1520_kvt_sae_0_18_003425/
1844590,Двигатель Mitsubishi S12A2-PTA,Mitsubishi S12A2-PTA,0,RUB,156311,https://tss.ru/upload/iblock/8da/70bxkimc0wnlrtx7otcmfznbj7i6cxmn.jpg,https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s12a2_pta_999971/
1844591,Двигатель Mitsubishi S12H-PTA,Mitsubishi S12H-PTA,0,RUB,156311,"https://tss.ru/upload/iblock/46f/2t5wvv9sc30sdbdwh1gsutgv3g3b0sxk.jpg, https://tss.ru/upload/iblock/7ce/qbehsrseuf5b6l0saxz49cexiwc8j0e7.jpeg, https://tss.ru/upload/iblock/4bc/i6s6un86tcj3bubytx6nc6a57jtksq25.jpeg",https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s12h_pta_999972/
1844592,Двигатель Mitsubishi S12R-PTA,Mitsubishi S12R-PTA,0,RUB,156311,"https://tss.ru/upload/iblock/259/5ky2iuiityr64yxhjceuarbmogiuu8ds.jpg, https://tss.ru/upload/iblock/806/3cqmybck7fzewbkuji7zbsb4fvjhg5la.jpg, https://tss.ru/upload/iblock/6a8/a2l8hcwoc4f2pc93t3slqw89n6f8oht4.jpg, https://tss.ru/upload/iblock/09a/7un75vv5i5lpgxly8cx4z4wqw29dygul.jpg, https://tss.ru/upload/iblock/cf4/3e3yg7at7h6s1lylnq6x24vk25aen9vv.jpg, https://tss.ru/upload/iblock/f65/9egrku737bxjs3pephkjt7mjwmweg8iw.jpg, https://tss.ru/upload/iblock/e42/vz9w14xungw0i3j6miasq1hk5ciqz2ko.jpg, https://tss.ru/upload/iblock/af7/yb68uonob1kcqw3biweysu3lp03gx321.jpg",https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s12r_pta_999973/
1844593,Двигатель Mitsubishi S12R-PTA2,Mitsubishi S12R-PTA2,0,RUB,156311,https://tss.ru/upload/iblock/406/uvnb29v2qglnzlwl5pnxba4fyjjermbd.jpg,https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s12r_pta2_999974/
1844594,Двигатель Mitsubishi S12R-PTAA2,Mitsubishi S12R-PTAA2,0,RUB,156311,"https://tss.ru/upload/iblock/216/wfhwizg3dvjvzp5zoohx3xan50pwa90f.jpg, https://tss.ru/upload/iblock/415/stjw1lzo8c31i0t3aukrgzayz282isyf.jpg, https://tss.ru/upload/iblock/575/m6n02p6fsxion7zgigl4xkb3lvn075p6.jpg, https://tss.ru/upload/iblock/18e/3v71n4ri0wnb1asfrxbozqzq30mwjh6b.jpg, https://tss.ru/upload/iblock/da6/3d4kuknc0ql0ikh6not1dpt3qjxkoas0.jpg, https://tss.ru/upload/iblock/bbe/182n2evyaufmmvwash9421g83xwu83si.jpg, https://tss.ru/upload/iblock/c52/0ip081siegkn9v2payqx0sgymh3fxqql.jpg, https://tss.ru/upload/iblock/9b3/qsegjkihn1tiyeceyevqodo67rf1weyv.jpg",https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s12r_ptaa2_999975/
1844595,Двигатель Mitsubishi S16R-PTA,Mitsubishi S16R-PTA,0,RUB,156311,"https://tss.ru/upload/iblock/84e/4lonsnm48dygz02lahrsq1ghxu12fsi3.jpg, https://tss.ru/upload/iblock/0f2/xi9qs27bjd7cs29zsjtknxv9zhvyobnf.jpeg, https://tss.ru/upload/iblock/702/ekxd5p19c8zyw75cixk3npmdae9g2oz5.jpeg, https://tss.ru/upload/iblock/7d3/b77p3r20cg1e9uv1bs5ggzugggni8msi.jpeg, https://tss.ru/upload/iblock/21a/0bg4fwjkfnknfxxk9qgf5q1pzyiknfcr.jpeg, https://tss.ru/upload/iblock/d11/batc2aoa3pdjpu8shfa4q8hrr1xn8vhl.jpeg, https://tss.ru/upload/iblock/02d/binh4q7030iagkfq8348rjkhv52w7jd3.jpeg, https://tss.ru/upload/iblock/3ed/8ahpynb7x74q71rozuzamdeagsh7tdga.jpeg, https://tss.ru/upload/iblock/244/9jx5sef0zys6hk3nbo86pljan1dfbbeb.jpeg, https://tss.ru/upload/iblock/7fd/801u394lhmkqt2s9nsihce6yi0rgc76y.jpeg, https://tss.ru/upload/iblock/472/kka211o6cthtnzvz8p4kvyg9414540lx.jpeg, https://tss.ru/upload/iblock/c5a/gjo75w0xmd1wa5yssth1zmsssvqut0yi.jpeg",https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s16r_pta_999976/
1844596,Двигатель Mitsubishi S16R-PTA2,Mitsubishi S16R-PTA2,0,RUB,156311,"https://tss.ru/upload/iblock/234/lyzwrc7b2w5225b0mtiiwl9m6y2aoi4m.jpg, https://tss.ru/upload/iblock/450/rfc2xhihoppksbae8uiwehj56efi4s3r.jpg",https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s16r_pta2_999977/
1844597,Двигатель Mitsubishi S16R-PTAA2,Mitsubishi S16R-PTAA2,9726288,RUB,156311,"https://tss.ru/upload/iblock/3f4/qf2fwgcr7erpy7vzr27qel8lc81druet.jpg, https://tss.ru/upload/iblock/20c/jwhcm1on7sm5ddemo18y0z5i7w3liw2o.jpg, https://tss.ru/upload/iblock/e28/b5d981jz41a7347mmhyo2674d97ukh55.jpg, https://tss.ru/upload/iblock/203/bye2iym356kz8sqzj3sxv5autc6cj8n5.jpg, https://tss.ru/upload/iblock/175/2gy8yaxloj4ji0z1eqeyhkvi16f2bhld.jpg, https://tss.ru/upload/iblock/6bb/nxa8145dc2224rg71csnduvjy5caaqk6.jpg, https://tss.ru/upload/iblock/76b/6bp0czolxomf7eyvpeu9py2d5b9hk01x.jpg, https://tss.ru/upload/iblock/859/x09vf69910cat08yd0mlgwzbj11q6x70.jpg",https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s16r_ptaa2_999978/
1844598,Двигатель Mitsubishi S16R2-PTAW,Mitsubishi S16R2-PTAW,0,RUB,156311,"https://tss.ru/upload/iblock/6d2/vbu5ew4sxo78bmvsp9ojpzm0ov7nut0m.jpg, https://tss.ru/upload/iblock/ebc/myvg5f3137q2eatgrph4zk7ti4zg9cks.jpg, https://tss.ru/upload/iblock/5d1/kw3dnyeoodqgir3qqi9sc7cz0ut9eb91.jpg, https://tss.ru/upload/iblock/5c2/e2jte3c1uzm2bzcbrj7ryw3lf9jkb0cs.jpg, https://tss.ru/upload/iblock/694/kpfodru9ao4etbtou5mvamfbqvesws4c.jpg, https://tss.ru/upload/iblock/f33/leg8w7annkp8zs4o2a2spvg8wt62vebv.jpg, https://tss.ru/upload/iblock/07b/k94b62kdfpiwdx6jixmdktc2refn9evj.jpg, https://tss.ru/upload/iblock/591/5g6zl5unmfvk941fy3qunhqrxfrf332z.jpg, https://tss.ru/upload/iblock/6a6/mvdnar0t1w817f7ujsmpbprxlq51lxo6.jpg, https://tss.ru/upload/iblock/342/qxc1xt3ag2zsftqwx0a2vsaw08jlqdsg.jpg, https://tss.ru/upload/iblock/f1e/hjc81eth1hy8e56z549em5aeqe1dfc85.jpg",https://tss.ru/catalog/dvigateli/mitsubishi/mitsubishi_s16r2_ptaw_999979/
1844623,Двигатель Hyundai Doosan DP222LB,Hyundai Doosan DP222LB,0,RUB,156300,"https://tss.ru/upload/iblock/b8c/klviqunohjsp1t6a57p20iki36h23eu6.jpg, https://tss.ru/upload/iblock/ef9/uatvm1edhbt7cyxmwudddn98d54cu448.jpg, https://tss.ru/upload/iblock/690/pwdy4sxe1fdmxodqohlu21c2gn9cuz9b.jpg",https://tss.ru/catalog/dvigateli/doosan/hyundai_doosan_dp222lb_999994/
1844624,Двигатель Hyundai Doosan DP222LC,Hyundai Doosan DP222LC,6837556.8,RUB,156300,"https://tss.ru/upload/iblock/554/q5kp8fes09s2c478pvl1qtmvlf0lnbqr.jpg, https://tss.ru/upload/iblock/521/hbn94gnsdd2cwhjgyx1y16mb8f4706rg.jpg, https://tss.ru/upload/iblock/b53/8r0qxt04l5wia5tvckqskdiziqmb7k21.jpg",https://tss.ru/catalog/dvigateli/doosan/hyundai_doosan_dp222lc_999995/
